	secondary_number	cellid	side	project	station	station_type	date	CTD_number	filter	depth_original	depth_type	depth_m	bottom_depth	lat	lon	temp	salinity	DO	POC (ug/L)	PON (ug/L)	SPM (ug/L)	FlECO-AFL(mg/m^3)	chl depth	chl (ug/l)	phaeo (ug/l)	PO4(uM)	Sil(uM)	NO3(uM)	NO2(uM)	NH4(uM)	N+N (umol/L)	mass	log_name	bottle	niskin_id_meta	volume_filtered_l	transmission_pct	niskin_id_nutrients	poc_pon_ratio	poc_pon_ratio_redfield	cast_depth	delO18	sedchla_mg_m2	notes	notes2
BOX_5_4		BOX_5_4	9-2-17 W2 B13 3M	DBONCIS2017	W-2	S	Sep 03 2017 03:47	42	0.2	3	surf	2.887	40.1	72.12216667	-163.2	4.4965	31.1017	334.5912798				0.2841		0.203	0.15	0.682	3.5	0	0	0	0		9_2_17_W_2_3m_B13_0.2	13	2.887_40.1	3		42_13							RNALater no
BOX_5_74		BOX_5_74	9-2-17 W2 B11 10M	DBONCIS2017	W-2	S	Sep 03 2017 03:47	42	0.2	10	mid	9.934	40.1	72.12216667	-163.2	4.49665	31.10225	334.2161274				0.2978		0.212	0.126								9_2_17_W_2_10m_B11_0.2	11	9.934_40.1	2.2		42_11							RNALater no
BOX_5_5		BOX_5_5	9-2-17 W2 B9 20M	DBONCIS2017	W-2	S	Sep 03 2017 03:47	42	0.2	20	mid	19.961	40.1	72.12216667	-163.2	4.5411	31.12445	333.7025259				0.2531	-163.2	0.239	0.116	0.67	3.5	0	0.01	0.24	0.01		9_2_17_W_2_20m_B9_0.2	9	19.961_40.1	2.2		42_9							RNALater no
BOX_5_6		BOX_5_6	9-2-17 W2 B7 30M	DBONCIS2017	W-2	S	Sep 03 2017 03:47	42	0.2	30	mid	30.119	40.1	72.12216667	-163.2	5.51525	31.816	330.6521796				0.4045		0.778	0.258	0.622	4.1	0.3	0.02	0.76	0.32		9_2_17_W_2_30m_B7_0.2	7	30.119_40.1	2.2		42_7							RNALater no
BOX_5_7		BOX_5_7	9-2-17 W2 B5 40M	DBONCIS2017	W-2	S	Sep 03 2017 03:47	42	0.2	40	bottom	38.611	40.1	72.12216667	-163.2	0.83855	32.3772	323.7609873				0.7576		1.425	0.507	1.121	13.6	1.5	0.08	2.98	1.58		9_2_17_W_2_40m_B5_0.2	5	38.611_40.1	2.2		42_5							RNALater no
BOX_11_7		BOX_11_7	9-3-17 48 W8 5M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	5	surf	2.919	50.5	72.492	-165.6851667	5.6654	31.91205	330.8844168				0.6693	48_13	1.703	0.366	0.384	0.4	0	0.01	0.09	0.01		9_3_17_W_8_5m_B14_0.2	14	2.919_50.5			48_13							RNALater no
BOX_11_8		BOX_11_8	9-3-17 48 W8 5M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	5	surf	2.919	50.5	72.492	-165.6851667	5.6654	31.91205	330.8844168				0.6693	48_13	1.703	0.366	0.384	0.4	0	0.01	0.09	0.01		9_3_17_W_8_5m_B14_0.2	14	2.919_50.5			48_13							RNALater no
BOX_11_10		BOX_11_10	9-3-17 48 W8 30M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	30	mid	30.267	50.5	72.492	-165.6851667	6.02375	32.4032	339.2985492				0.5046	48_7	0.757	0.281	0.353	1.1	0	0.01	0.13	0.01		9_3_17_W_8_30m_B8_0.2	8	30.267_50.5			48_7							RNALater no
BOX_11_9		BOX_11_9	9-3-17 48 W8 30M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	30	mid	30.267	50.5	72.492	-165.6851667	6.02375	32.4032	339.2985492				0.5046	48_7	0.757	0.281	0.353	1.1	0	0.01	0.13	0.01		9_3_17_W_8_30m_B8_0.2	8	30.267_50.5			48_7							RNALater no
BOX_11_11		BOX_11_11	9-3-17 48 W8 40M	DBONCIS2017	W-8	S	Sep 03 2017 14:19	48	0.2	40	mid	40.274	50.5	72.492	-165.6851667	2.55485	32.66745	274.6383534				0.4614	48_5	0.593	0.248	1.389	15.1	0.3	0.04	0.92	0.34		9_3_17_W_8_40m_B6_0.2	6	40.274_50.5			48_5							RNALater no
